citekey	venue	volume	coder	codername	sidx	words	chars	syllables	fkscore	code	suffixes	topic	icount	ucount
XiaHeXu22	ICSE	ICSE22	B	Franz	3	31	200	54	28.0	objective		objective	0	0
XiaHeXu22	ICSE	ICSE22	B	Franz	4	26	172	46	30.8	design		design	0	0
XiaHeXu22	ICSE	ICSE22	B	Franz	5	24	159	43	30.9	method		method	0	0
XiaHeXu22	ICSE	ICSE22	B	Franz	6	20	124	33	46.9	result	:u1	result	0	1
XiaHeXu22	ICSE	ICSE22	B	Franz	7	7.5	58.5	17.5	-5.8	method		method	0	0
XiaHeXu22	ICSE	ICSE22	B	Franz	7	7.5	58.5	17.5	-5.8	a-result		result	0	0
XiaHeXu22	ICSE	ICSE22	B	Franz	8	17.0	105.0	29.0	28.0	result		result	0	0
XiaHeXu22	ICSE	ICSE22	B	Franz	8	17.0	105.0	29.0	28.0	method		method	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	1	23	163	43	25.3	background		background	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	2	16	119	33	16.1	background		background	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	3	29	185	51	28.6	background		background	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	4	29	162	43	52.0	objective		objective	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	5	19.5	142.5	40.5	-8.5	design		design	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	5	19.5	142.5	40.5	-8.5	objective		objective	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	6	23	150	44	21.6	design		design	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	7	20	167	50	-25.0	method		method	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	8	24	200	60	-29.0	result		result	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	9	7.5	53.5	15.5	16.8	a-method		method	0	0
ZhoZhaShe22	TOSEM	TOSEM22	B	Franz	9	7.5	53.5	15.5	16.8	result		result	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	1	27	180	50	22.8	background		background	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	2	31	204	58	17.1	background		background	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	3	34	171	49	50.4	gap		gap	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	4	25	140	39	49.5	objective	:hype	objective	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	5	19.5	116.5	33.5	21.9	design		design	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	5	19.5	116.5	33.5	21.9	objective		objective	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	6	12	88	26	11.4	design		design	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	7	16.0	109.0	30.5	13.1	result	:i1	result	1	0
SamGaoDao22	ICSE	ICSE22	B	Franz	7	16.0	109.0	30.5	13.1	a-method		method	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	8	34	201	59	25.5	result		result	0	0
SamGaoDao22	ICSE	ICSE22	B	Franz	9	20	145	42	8.9	result	:i2	result	2	0
SamGaoDao22	ICSE	ICSE22	B	Franz	10	18	101	28	57.0	result		result	0	0
XieLeiYan22	ICSE	ICSE22	B	Franz	1	16	84	23	69.0	background		background	0	0
XieLeiYan22	ICSE	ICSE22	B	Franz	2	28	190	54	15.3	background		background	0	0
XieLeiYan22	ICSE	ICSE22	B	Franz	3	44	270	73	21.8	background		background	0	0
XieLeiYan22	ICSE	ICSE22	B	Franz	4	28	198	58	3.2	objective		objective	0	0
XieLeiYan22	ICSE	ICSE22	B	Franz	5	39	282	86	-19.3	design		design	0	0
XieLeiYan22	ICSE	ICSE22	B	Franz	6	23	179	49	3.3	design		design	0	0
XieLeiYan22	ICSE	ICSE22	B	Franz	7	27	183	50	22.8	method		method	0	0
XieLeiYan22	ICSE	ICSE22	B	Franz	8	30	197	58	12.8	result		result	0	0
YanXiaFan22	TSE	TSE22	B	Franz	1	26	168	47	27.5	background		background	0	0
YanXiaFan22	TSE	TSE22	B	Franz	2	18	116	32	38.2	background		background	0	0
YanXiaFan22	TSE	TSE22	B	Franz	3	5	30	7	83.3	background		background	0	0
YanXiaFan22	TSE	TSE22	B	Franz	4	27	166	44	41.6	background		background	0	0
YanXiaFan22	TSE	TSE22	B	Franz	5	15	91	28	33.7	background		background	0	0
YanXiaFan22	TSE	TSE22	B	Franz	6	28	186	52	21.3	gap		gap	0	0
YanXiaFan22	TSE	TSE22	B	Franz	7	25	161	47	22.4	need		gap	0	0
YanXiaFan22	TSE	TSE22	B	Franz	8	17	119	35	15.4	objective		objective	0	0
YanXiaFan22	TSE	TSE22	B	Franz	9	17	101	29	45.3	design		design	0	0
YanXiaFan22	TSE	TSE22	B	Franz	10	27	166	46	35.3	design		design	0	0
YanXiaFan22	TSE	TSE22	B	Franz	11	17	89	25	65.2	design		design	0	0
YanXiaFan22	TSE	TSE22	B	Franz	12	18	122	37	14.7	design		design	0	0
YanXiaFan22	TSE	TSE22	B	Franz	13	20	139	41	13.1	design		design	0	0
YanXiaFan22	TSE	TSE22	B	Franz	14	21	125	36	40.5	method		method	0	0
YanXiaFan22	TSE	TSE22	B	Franz	15	13	88	25	30.9	result	:u1	result	0	1
YanXiaFan22	TSE	TSE22	B	Franz	16	31	194	55	25.3	result	:i2	result	2	0
WatCooNad22	TOSEM	TOSEM22	B	Franz	1	26	175	49	21.0	background		background	0	0
WatCooNad22	TOSEM	TOSEM22	B	Franz	2	19	144	43	-3.9	background		background	0	0
WatCooNad22	TOSEM	TOSEM22	B	Franz	3	29	185	52	25.7	gap		gap	0	0
WatCooNad22	TOSEM	TOSEM22	B	Franz	4	35	204	58	31.1	objective		objective	0	0
WatCooNad22	TOSEM	TOSEM22	B	Franz	5	24	140	38	48.5	method	:i1	method	1	0
WatCooNad22	TOSEM	TOSEM22	B	Franz	6	38	238	68	16.9	method		method	0	0
WatCooNad22	TOSEM	TOSEM22	B	Franz	7	16.0	98.0	28.5	23.7	a-fposs		Outlook	0	0
WatCooNad22	TOSEM	TOSEM22	B	Franz	7	16.0	98.0	28.5	23.7	a-result		result	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	1	24	167	49	9.8	background		background	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	2	11	87	23	18.8	background		background	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	3	17	146	45	-34.4	gap		gap	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	4	24	142	42	34.4	objective		objective	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	5	12	71	22	39.6	design		design	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	6	41	254	71	18.7	design		design	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	7	20	124	35	38.5	design		design	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	8	15.0	98.0	27.0	24.1	design		design	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	8	15.0	98.0	27.0	24.1	a-result		result	0	0
RobCapGon22	EMSE	EMSE22	B	Franz	9	20	109	32	51.2	design		design	0	0
LamChe22	EMSE	EMSE22	B	Franz	1	19	127	39	13.9	background		background	0	0
LamChe22	EMSE	EMSE22	B	Franz	2	30	193	51	32.6	gap		gap	0	0
LamChe22	EMSE	EMSE22	B	Franz	3	29	182	49	34.5	objective	:hype	objective	0	0
LamChe22	EMSE	EMSE22	B	Franz	4	17	108	27	55.2	objective		objective	0	0
LamChe22	EMSE	EMSE22	B	Franz	5	24	161	47	16.8	result		result	0	0
LamChe22	EMSE	EMSE22	B	Franz	6	37	239	61	29.8	result		result	0	0
LamChe22	EMSE	EMSE22	B	Franz	7	22	148	41	26.8	result	:u1	result	0	1
LamChe22	EMSE	EMSE22	B	Franz	8	14.5	105.0	29.0	8.2	summary		summary	0	0
LamChe22	EMSE	EMSE22	B	Franz	8	14.5	105.0	29.0	8.2	fposs		Outlook	0	0
HuaJiaLuo22	TSE	TSE22	B	Franz	1	24	154	43	30.9	background		background	0	0
HuaJiaLuo22	TSE	TSE22	B	Franz	2	25	159	44	32.6	objective		objective	0	0
HuaJiaLuo22	TSE	TSE22	B	Franz	3	13	95	25	30.9	design		design	0	0
HuaJiaLuo22	TSE	TSE22	B	Franz	4	16	97	29	37.3	design		design	0	0
HuaJiaLuo22	TSE	TSE22	B	Franz	5	21	139	39	28.4	design		design	0	0
HuaJiaLuo22	TSE	TSE22	B	Franz	6	24	134	36	55.6	design		design	0	0
HuaJiaLuo22	TSE	TSE22	B	Franz	7	35	222	64	16.6	design		design	0	0
HuaJiaLuo22	TSE	TSE22	B	Franz	8	11.0	76.0	21.5	19.2	result	:i1	result	1	0
HuaJiaLuo22	TSE	TSE22	B	Franz	8	11.0	76.0	21.5	19.2	method		method	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	1	20	121	34	42.7	background		background	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	2	13	97	27	17.9	background		background	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	3	24	158	44	27.4	background		background	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	4	21	134	35	44.5	background		background	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	5	23	159	48	6.9	background		background	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	6	26	156	43	40.5	objective		objective	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	7	25	183	54	-1.3	design		design	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	8	24	162	44	27.4	design		design	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	9	22.5	139.0	37.5	20.2	result		result	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	9	22.5	139.0	37.5	20.2	method		method	0	0
FloPerWei22	ICSE	ICSE22	B	Franz	10	23	151	40	36.4	result		result	0	0
RonWanMan22	IST	IST22	B	Franz	1	1	8	NA	NA	h-background		none	0	0
RonWanMan22	IST	IST22	B	Franz	2	21	151	46	0.2	background		background	0	0
RonWanMan22	IST	IST22	B	Franz	3	24	172	52	-0.8	need		gap	0	0
RonWanMan22	IST	IST22	B	Franz	4	1	10	NA	NA	h-objective		none	0	0
RonWanMan22	IST	IST22	B	Franz	5	23.0	151.5	45.0	-5.4	need		gap	0	0
RonWanMan22	IST	IST22	B	Franz	5	23.0	151.5	45.0	-5.4	background		background	0	0
RonWanMan22	IST	IST22	B	Franz	6	1	8	NA	NA	h-method		none	0	0
RonWanMan22	IST	IST22	B	Franz	7	20	128	37	30.0	method		method	0	0
RonWanMan22	IST	IST22	B	Franz	8	17	108	30	40.3	method		method	0	0
RonWanMan22	IST	IST22	B	Franz	9	21	140	40	24.4	method		method	0	0
RonWanMan22	IST	IST22	B	Franz	10	1	8	NA	NA	h-result		none	0	0
RonWanMan22	IST	IST22	B	Franz	11	18	100	29	52.3	result		result	0	0
RonWanMan22	IST	IST22	B	Franz	12	20	144	43	4.6	result	:i2	result	2	0
RonWanMan22	IST	IST22	B	Franz	13	1	11	NA	NA	h-conclusion		none	0	0
RonWanMan22	IST	IST22	B	Franz	14	38	258	80	-9.8	fposs		Outlook	0	0
RonWanMan22	IST	IST22	B	Franz	15	39	236	67	21.9	fposs		Outlook	0	0
KotKurDil22	IST	IST22	B	Franz	1	1	8	NA	NA	h-background		none	0	0
KotKurDil22	IST	IST22	B	Franz	2	16	110	33	16.1	background		background	0	0
KotKurDil22	IST	IST22	B	Franz	3	25	176	55	-4.7	background		background	0	0
KotKurDil22	IST	IST22	B	Franz	4	10	76	24	-6.4	background		background	0	0
KotKurDil22	IST	IST22	B	Franz	5	34	219	67	5.6	gap		gap	0	0
KotKurDil22	IST	IST22	B	Franz	6	1	10	NA	NA	h-objective		none	0	0
KotKurDil22	IST	IST22	B	Franz	7	22	147	44	15.3	objective		objective	0	0
KotKurDil22	IST	IST22	B	Franz	8	17	106	29	45.3	objective		objective	0	0
KotKurDil22	IST	IST22	B	Franz	9	1	7	NA	NA	h-method		none	0	0
