# what      abstracts.A   abstracts.B
#----- Block 1
HouBel22      Lutz        Lloyd
BaiJiaCap22   Lutz        Lloyd
#----- Block 11
FloMorZha22   Lutz        Lloyd
WerLiLow22    Lutz        Lloyd
RanTërKhe22   Lutz        Lloyd
YanWanFan22   Lutz        Lloyd
MadNagBir22   Lutz        Lloyd
KukPinAmm22   Lutz        Lloyd
HöpHaaTic22   Lutz        Lloyd
TunTraLe22    Lutz        Lloyd
#----- Block 12
BarStoFit22   Lutz        Lloyd
GôlAraRos22   Lutz        Lloyd
CalLan22      Lutz        Lloyd
AbdBadCos22   Lutz        Lloyd
TizKumTan22   Lutz        Lloyd
BraFriHol22   Lutz        Lloyd
LinLiZha22    Lutz        Lloyd
NaeAla22      Lutz        Lloyd
#----- Block 13
FanWeiJin22   Lutz        Julian
SahÖzyTos22   Lutz        Julian
LiuLiSwa22    Lutz        Julian
JaiPurSha22   Lutz        Julian
# Pezzè22  an editorial, not an article
NadRodNag22   Lutz        Julian
JørHalLie22   Lutz        Julian
HerFerGal22   Lutz        Julian
#----- Block 14
YeGuMar22     Lutz        Lloyd
JiaTanDam22   Lutz        Lloyd
ÇetTüz22      Lutz        Lloyd
ChaZhaShe22   Lutz        Lloyd
LyuRajLin22   Lutz        Lloyd
EscMazBed22   Lutz        Lloyd
NolShaGao22   Lutz        Lloyd
Vidoni22      Lutz        Lloyd
#----- Block 15
AhmMerBah22   Lutz        Lloyd
HatNovBal22   Lutz        Lloyd
TeyIzaIsa22   Lutz        Lloyd
HuCheWan22    Lutz        Lloyd
ChoLeeKan22   Lutz        Lloyd
KalNorVog22   Lutz        Lloyd
ReiJahMoc22   Lutz        Lloyd
TawSarPet22   Lutz        Lloyd
#----- Block 16
FahAhmBeh22   Lutz        Julian
HuaWeiWan22   Lutz        Julian
RusMasSto22   Lutz        Julian
LiuFenYin22   Lutz        Julian
MenDonLi22    Lutz        Julian
WuYanMa22     Lutz        Julian
CanSorFor22   Lutz        Julian
GuoCheXin22   Lutz        Julian
#----- Block 17
WanLutQia22   Lutz        Lloyd
MeyAlmKel22   Lutz        Lloyd
DabLetPer22   Lutz        Lloyd
PreRob22      Lutz        Lloyd
AtaMasHem22   Lutz        Lloyd
UddGuéKho22   Lutz        Lloyd
SheBanKum22   Lutz        Lloyd
BomBonGal22   Lutz        Lloyd
#----- Block 18
SahUraMah22   Lutz        Julian
ArdBotCop22   Lutz        Julian
ParBarMec22   Lutz        Julian
AlDAhmMah22   Lutz        Julian
LanRahFan22   Lutz        Julian
JunTra22      Lutz        Julian
UttPal22      Lutz        Julian
GinMarMar22   Lutz        Julian
#----- Block 19
CasZamNov22   Lutz        Lloyd
LiWanNgu22    Lutz        Lloyd
ParKapHil22   Lutz        Lloyd
MajModMen22   Lutz        Lloyd
CinCooPas22   Lutz        Lloyd
MasPasBav22   Lutz        Lloyd
SunZhaFan22   Lutz        Lloyd
CheCheWan22   Lutz        Lloyd
#----- Block 20
StrDinLin22   Lutz        Julian
NgoPasBri22   Lutz        Julian
PatZhaPap22   Lutz        Julian
GaoZhuZha22   Lutz        Julian
FraMénVog22   Lutz        Julian
ZhaFuLi22     Lutz        Julian
ChoGueSil22   Lutz        Julian
VysMcIAda22   Lutz        Julian
#----- Block 21
TiaLiPia22    Lutz        Lloyd
SuFanChe22    Lutz        Lloyd
ZhaLiWan22    Lutz        Lloyd
KhaSin22      Lutz        Lloyd
AnaGreKeh22   Lutz        Lloyd
LiYanHua22    Lutz        Lloyd
RziHasKes22   Lutz        Lloyd
ZhuZhaHas22   Lutz        Lloyd
#----- Block 22
FalAhlPen22   Lutz        Lloyd
ArcFonHau22   Lutz        Lloyd
CamRus22      Lutz        Lloyd
MaXuRen22     Lutz        Lloyd
MohRalTur22   Lutz        Lloyd
TecTüzMor22   Lutz        Lloyd
WanJiaLi22    Lutz        Lloyd
FliChaDye22   Lutz        Lloyd
#----- Block 23
PisSpäBud22   Lutz		  Lloyd
ValHunFig22   Lutz		  Lloyd
LiuZhoAru22   Lutz		  Lloyd
# Crnkovic22  an obituary, not an article
GaoLiLin22    Lutz		  Lloyd
TraPomTuc22   Lutz		  Lloyd
BeyDanDie22   Lutz		  Lloyd
AhmAshAzg22   Lutz		  Lloyd
#----- Block 24
BokAle22      Lloyd       Julian
MasHodBli22   Lloyd       Julian
MilCohKlu22   Lloyd       Julian
MarSen22      Lloyd       Julian
WeiHarHua22   Lloyd       Julian
AlaKraPaa22   Lloyd       Julian
SonJobRan22   Lloyd       Julian
ChePenChe22   Lloyd       Julian
#----- Block 25
RusSto22      Lutz		  Lloyd 
LiuLiDen22    Lutz		  Lloyd
CorPasBri22   Lutz		  Lloyd
KraHanHas22   Lutz		  Lloyd
NiXiaLo22     Lutz		  Lloyd
CheJinZho22   Lutz		  Lloyd
GarDegJim22   Lutz		  Lloyd
BiaTon22      Lutz		  Lloyd
#----- Block 26
WuSheChe22    Lutz		  Lloyd
DasPhi22      Lutz		  Lloyd
MoldapAgu22   Lutz		  Lloyd
ZhoBoWu22     Lutz		  Lloyd
MaeGalGor22   Lutz		  Lloyd
ZhaChePen22   Lutz		  Lloyd
GueLarChe22   Lutz		  Lloyd
ZhoCheHao22   Lutz		  Lloyd
#----- Block 27
BagKahBri22   Lutz        Lloyd
LeeShiNej22   Lutz        Lloyd
GaoZhoXia22   Lutz        Lloyd
KapSod22      Lutz        Lloyd
AniTreZai22   Lutz        Lloyd
BraZai22      Lutz        Lloyd
BriRouSei22   Lutz        Lloyd
AmrMaoSeg22   Lutz        Lloyd
#----- Block 28
GiaMasMag22   Lutz        Lloyd
CasDeuGra22   Lutz        Lloyd
YanHeXia22    Lutz        Lloyd
SaiOunAha22   Lutz        Lloyd
AndLimMar22   Lutz        Lloyd
SunSunPha22   Lutz        Lloyd
LinWilHal22   Lutz        Lloyd
CheZhuHu22    Lutz        Lloyd
#----- Block 29
VelJamSie22   Lutz        Julian
CopAlé22      Lutz        Julian
RehWanKul22   Lutz        Julian
EldZahShu22   Lutz        Julian
KriTanSul22   Lutz        Julian
WagWyr22      Lutz        Julian
XuCheHe22     Lutz        Julian
HuGuoCor22    Lutz        Julian
#----- Block 30
WuWuZho22     Lutz        Julian
IrsBörPet22   Lutz        Julian
FahGruBey22   Lutz        Julian
ReiZam22      Lutz        Julian
HeBarNic22    Lutz        Julian
AhmFanYi22    Lutz        Julian
# LiuXiaLo22 duplicate ID (TOSEM and TSE): TOSEM article is removed from sample   
MarKesVer22   Lutz        Julian
#----- Block 31
SteNicInv22   Lutz        Lloyd
KapTseKyr22   Lutz        Lloyd
LamMarSia22   Lutz        Lloyd
RosClaMad22   Lutz        Lloyd
YeCheDou22    Lutz        Lloyd
HarThuLo22    Lutz        Lloyd
MehHan22      Lutz        Lloyd
GreNucPal22   Lutz        Lloyd
#----- Block 32
NerBarOli22   Lutz        Julian
WuJiaXia22a   Lutz        Julian
MoyPufWeb22   Lutz        Julian
NikBraMor22   Lutz        Julian
NagHal22      Lutz        Julian
ZhaArc22      Lutz        Julian
LiaHanLi22    Lutz        Julian
HorBesVan22   Lutz        Julian
#----- Block 33
LiuNak22      Lloyd       Julian
TurArtMis22   Lloyd       Julian
CaoLiLi22     Lloyd       Julian
HumKhoAnt22   Lloyd       Julian
RomMerCec22   Lloyd       Julian
SelOunSai22   Lloyd       Julian
WuJiaXia22    Lloyd       Julian
WanXuCha22    Lloyd       Julian
#----- Block 34
HusPerWhi22   Lloyd       Julian
KelKabPle22   Lloyd       Julian
YedMen22      Lloyd       Julian
YanShiHe22    Lloyd       Julian
LiPenXia22    Lloyd       Julian
UddAlaSer22   Lloyd       Julian
MirLatPro22   Lloyd       Julian
# LiWerErn22 Abstract is cut off.
#----- Block 35
ObaNagSpe22   Lloyd       Julian
PerSimAlO22   Lloyd       Julian
TriWieSar22   Lloyd       Julian
GuoZhoYao22   Lloyd       Julian
RodUrqMen22   Lloyd       Julian
KulGreDeu22   Lloyd       Julian
AlbGorHer22   Lloyd       Julian
JahCev22      Lloyd       Julian
#----- Block 36
ShrHalEdw22   Lloyd       Julian
AliMus22      Lloyd       Julian
NiuLiNg22     Lloyd       Julian
FouConMen22   Lloyd       Julian
PetKugHut22   Lloyd       Julian
CheSuo22      Lloyd       Julian
PreMohVil22   Lloyd       Julian
WuXuNiu22     Lloyd       Julian
#----- Block 37
AsaGas22      Lloyd       Julian
SaiOunMka22   Lloyd       Julian
ArcGal22      Lloyd       Julian
AlmKorTah22   Lloyd       Julian
ZhoSioWan22   Lloyd       Julian
NguGru22      Lloyd       Julian
HanMeh22      Lloyd       Julian
TyaSibSur22   Lloyd       Julian
#----- Block 38
LorMadMon22   Lloyd       Julian
LiYuWan22     Lloyd       Julian
WeiDenYan22   Lloyd       Julian
HuMarCza22    Lloyd       Julian
# GarRaiFel22 Abstract of special issue introduction
JiaCheWan22   Lloyd       Julian
LinCasSer22   Lloyd       Julian
EbrTusMah22   Lloyd       Julian
#----- Block 39
PapGroSub22   Lutz        Franz
JaiVaiIye22   Lutz        Franz
GarKouGho22   Lutz        Franz
LiLuZha22     Lutz        Franz
LiuLiFu22     Lutz        Franz
WalGhaAla22   Lutz        Franz
BocSchApe22   Lutz        Franz
QamSülTüz22   Lutz        Franz
#----- Block 40
MasGarCal22   Lutz        Franz
GuiSarKri22   Lutz        Franz
CajLárGei22   Lutz        Franz
SobMinBah22   Lutz        Franz
WidPraHar22   Lutz        Franz
BöhSzeMet22   Lutz        Franz
AmnPoe22      Lutz        Franz
LiYuZho22     Lutz        Franz
#----- Block 41
GreStrSha22   Julian
HuaLiaChe22   Julian   
CorRweFra22   Julian
MoWeiFen22    Julian
ZhaHu22       Julian
ZhaSuLiu22    Julian
ZyrPetGua22   Julian
JiaLiuJia22   Julian
#----- Block 42
LiuPenMar22   Julian
LinWanWen22   Julian
GraLenFel22   Julian
YuKeuXia22    Julian
NiuWuNie22    Julian
HofUrqCha22   Julian
AlmGay22      Julian
BarDuDav22    Julian
#----- Block 43
LiaCheLi22    Julian
OniLet22      Julian
TanFeiAvg22   Julian
XuVasNeu22    Julian
ReyGarBen22   Julian
HanYanMa22    Julian
WarCruLe22    Julian
VieMatRoc22   Julian
#----- Block 44
KhaShiBia22   Julian
ChaHonBak22   Julian
WanZhaZha22   Julian
RodKhvAlo22   Julian
PraForRas22   Julian
PonSutArt22   Julian
KasNisKam22   Julian
SawBisMoh22   Julian
#----- Block 45
AmaAbuTor22   -Julian
CheXiaLo22    -Julian
JobApe22      -Julian
KarMilHer22   -Julian
WanGaoWan22   -Julian
RaiWoh22      -Julian
CaoAhmRub22   -Julian
CreNozSán22   -Julian
#----- Block 46
SejSch22   
HaqShiBri22   
SoaSizSan22   
PanXuPei22   
AbiRahOpe22   
AlkAlaKeb22   
OliNetChe22   
LiaLiSha22   
#----- Block 47
VogNeuFis22   
SmiBibAmp22   
ZhaYuMao22   
MahDeyNol22   
LiCheChe22   
YaoZhaPan22   
LamShaChe22   
XieLiWan22   
#----- Block 48
SchSun22   
HorKecSar22   
RauPetTun22   
OliBerMay22   
XioWan22   
WarNolVog22   
CaoSunBo22   
AzuMatKam22   
#----- Block 49
DilKetSan22   
PenTorMon22   
CarGerSan22   
WanBroJen22   
SunGonWnu22   
RíoEmbEra22   
RitKovHol22   
GisAppPan22   
#----- Block 50
WilRenCar22   
ShaBerFla22   
HuWonKuh22   
LiZhuWan22   
ZhaLiuTan22   
SabGuéPal22   
TiaLiaBab22   
BinMooIsa22   
#----- Block 51
ÅgrKnoBer22   
LiXuZha22   
RezKamMcI22   
LiuNoeLyo22   
FávCasPim22   
XuCheSun22   
IzqCab22   
FenYanPen22   
#----- Block 52
ZhaWanLiu22   
HuXiaLo22   
WieRacRie22   
KimJeoHon22   
BeeDamLie22   
DoWriAli22   
CalGerIaf22   
CôgOliHas22   
#----- Block 53
LomMorLen22   
XiaHuaZho22   
LewMad22   
BarSouSan22   
MarZhaArc22   
PanHuaYan22   
LauKorRoc22   
NahZhoLew22   
#----- Block 54
KaoChaJia22   
LiSolAvg22   
AhmNooSha22   
ShiMuZha22   
KanAwLo22   
HeLiChe22   
AlaKra22   
ÇatYueAli22   
#----- Block 55
Jr22   
ZhaWanChe22   
ManMag22   
ZamMudArn22   
FuWanZho22   
GhaEmaMil22   
WenHeWu22   
TanJiaZho22   
#----- Block 56
AssColCar22   
MosOkuMir22   
DuLiLiu22   
PasThoKar22   
LiuZhaLiu22   
HidGruHod22   
MehAgaGup22   
CarMen22   
#----- Block 57
LinTanHas22   
DisJayZah22   
KhaFarKha22   
LimVer22   
BeyHalLem22   
YanWanYao22   
AléKarRos22   
KröFlöGer22   
#----- Block 58
JebRahKho22   
TiaZhaSto22   
AbiRziFer22   
DinRyaMyt22   
SonKanHyu22   
GirLanNov22   
SchCit22   
SouLimFon22   
#----- Block 59
XuChePei22   
CheLiuSu22   
KimRagHeo22   
PatFacHam22   
MarLarBer22
HenLesStr22   
SeiHecCav22   
DogTüz22   
#----- Block 60
KhaMogJin22   
LiuLinAnu22   
ZhaWanSun22   
NamNasMes22   
PerBruLár22   
BjaBerSve22   
NurShaCha22   
YaoSaySha22   
#----- Block 61
VerSamAkh22   
SunZhaXio22   
WanCheXin22   
GalLamMcI22   
ZhaWanZha22   
PerAleTan22   
PecCatFer22   
LapPérPas22   
#----- Block 62
ThoPorTan22   
SokWeiSal22   
ZhaLiMa22   
LinZhaAda22   
LeeAma22   
LimMenVer22   
PérFonArc22   
WohKalFel22   
#----- Block 63
MatAmaDor22   
JúnMarSan22   
XieYanWan22   
MahAjmWil22   
LiuWanLiu22   
LiMaWan22   
MarAchPer22   
SánDelMed22   
#----- Block 64
MahErnTon22   
MorAssMar22   
ZhaHarMa22   
TheHeeAvg22   
LiDiaLi22   
LorRalFel22   
AkbSmoMah22   
SahDowBre22   
#----- Block 65
TsiWau22   
StrHodPaa22   
EndBoeWei22   
BusOpeNad22   
#HerFerGal22a  EMSE. Not an article but a 'correction'. Replaced by MarLarBer22 from the reserve in Block 59.   
ZheCheDu22   
LiCheYao22   
MotSotBru22   
#----- Block 66
# KhaAbrNia22  IST. Not an article but an editorial. Removed from sample   
NguNgoNgu22   
#DabLetPer22a  EMSE. Not an article but a 'correction'. Replaced by YanHasZou22 from the reserve in Block 8.   
PanRaj22   
HuqHasHaq22   
